Date,AAPL,ABBV,AMZN,BA,BAC,BRK-B,CAT,COP,CVX,GE,GOOGL,GS,HD,HON,JNJ,JPM,LLY,META,MSFT,NEE,NKE,NVDA,PFE,SLB,TSLA,UNH,UPS,V,WMT,XOM
2019-01-02,37.50373458862305,64.78944396972656,76.95649719238281,314.6451721191406,20.945085525512695,202.8000030517578,108.02359008789062,49.39659118652344,80.60423278808594,37.31767654418945,52.301727294921875,145.39166259765625,144.2037811279297,106.92842864990234,104.38789367675781,80.8365249633789,104.34184265136719,134.62351989746094,94.39717102050781,35.500205993652344,67.1541748046875,3.376983642578125,29.294353485107422,30.38584327697754,20.674667358398438,215.453125,72.92182922363281,126.32946014404297,27.9670467376709,50.001853942871094
2019-01-03,33.76808166503906,62.65471649169922,75.01399993896484,302.1005554199219,20.609426498413086,191.66000366210938,103.86095428466797,48.46135711669922,79.06047058105469,37.364036560058594,50.85320281982422,143.26187133789062,141.0254669189453,105.50086212158203,102.7291259765625,79.68769836425781,101.09933471679688,130.71421813964844,90.92447662353516,35.41241455078125,65.9663314819336,3.1729557514190674,28.474796295166016,30.71256446838379,20.02400016784668,209.5777587890625,70.8514175415039,121.77694702148438,27.823230743408203,49.234130859375
2019-01-04,35.2096061706543,64.67326354980469,78.76950073242188,317.8226013183594,21.465347290039062,195.1999969482422,109.53649139404297,49.68495559692383,80.69889831542969,38.152130126953125,53.461639404296875,147.94407653808594,145.2158203125,109.19141387939453,104.4532699584961,82.62542724609375,104.1420669555664,136.87586975097656,95.15326690673828,36.06460189819336,67.68917083740234,3.376239776611328,29.125017166137695,31.929637908935547,21.179332733154297,212.02874755859375,73.31939697265625,127.02325439453125,27.997011184692383,51.04936981201172
2019-01-07,35.1312370300293,65.61717987060547,81.47550201416016,318.82342529296875,21.448566436767578,196.91000366210938,109.60488891601562,49.46674728393555,81.74750518798828,40.516353607177734,53.35502624511719,148.7638702392578,148.07626342773438,109.79975128173828,103.78323364257812,82.6828384399414,104.70518493652344,136.97509765625,95.27462768554688,36.01234817504883,68.65939331054688,3.554980754852295,29.280813217163086,32.811805725097656,22.33066749572754,212.43580627441406,73.07184600830078,129.31373596191406,28.326595306396484,51.314842224121094
2019-01-08,35.80095672607422,65.9221420288086,82.8290023803711,330.8919372558594,21.406612396240234,196.30999755859375,110.92121887207031,50.129207611083984,81.39070129394531,39.681922912597656,53.82365036010742,148.21444702148438,148.78721618652344,109.57262420654297,106.19376373291016,82.52692413330078,105.66793060302734,141.4202117919922,95.9654769897461,36.27571487426758,69.5752182006836,3.466478109359741,29.416269302368164,33.22021484375,22.356666564941406,215.27618408203125,73.07933807373047,130.01707458496094,28.524351119995117,51.68794250488281
2019-01-09,36.40890884399414,63.75837707519531,82.97100067138672,334.0984802246094,21.61640167236328,196.3699951171875,111.34858703613281,51.78926467895508,82.48300170898438,39.40376663208008,53.6391716003418,149.14413452148438,150.3262481689453,110.08362579345703,105.3520736694336,82.38742065429688,106.45814514160156,143.1069793701172,97.3377456665039,36.11894226074219,69.44827270507812,3.534651756286621,29.355314254760742,33.6858024597168,22.568666458129883,215.58590698242188,73.45442962646484,131.5472412109375,28.43147087097168,51.9605827331543
2019-01-10,36.52528381347656,64.04157257080078,82.81099700927734,342.6299743652344,21.59122657775879,196.5800018310547,113.64789581298828,52.950531005859375,82.61405181884766,41.44348907470703,53.499324798583984,148.74691772460938,149.7657928466797,111.73019409179688,105.98947143554688,82.37922668457031,105.30461883544922,143.07720947265625,96.71224975585938,36.66242599487305,69.29411315917969,3.6003470420837402,28.657672882080078,34.02070999145508,22.99799919128418,216.67422485351562,74.19707489013672,131.79434204101562,28.45244026184082,51.69511032104492
2019-01-11,36.16667556762695,64.12142181396484,82.02799987792969,342.91180419921875,21.842971801757812,196.2899932861328,112.91280364990234,51.74250030517578,81.95143127441406,41.44348907470703,52.78721237182617,149.53292846679688,150.05856323242188,111.41384887695312,106.02212524414062,81.98534393310547,105.52261352539062,142.68031311035156,95.9654769897461,36.72933578491211,68.94954681396484,3.6895930767059326,29.043750762939453,34.094215393066406,23.150667190551758,219.15184020996094,73.44693756103516,131.21461486816406,28.416484832763672,51.458335876464844
2019-01-14,35.62282180786133,62.29865264892578,80.8604965209961,340.4436950683594,22.128278732299805,195.77999877929688,112.6563491821289,51.13459014892578,81.35428619384766,41.25807189941406,52.144527435302734,151.0457305908203,149.55670166015625,111.61664581298828,104.82096862792969,82.8305435180664,104.16020965576172,144.25791931152344,95.26534271240234,35.792850494384766,68.99488830566406,3.7295069694519043,28.698305130004883,33.75115203857422,22.293333053588867,219.49696350097656,74.36961364746094,130.30218505859375,28.449447631835938,51.39376449584961
2019-01-15,36.3519287109375,62.842525482177734,83.72799682617188,342.2704772949219,22.279325485229492,196.94000244140625,111.70756530761719,51.46192932128906,81.64558410644531,40.46998977661133,53.880184173583984,152.05149841308594,147.59957885742188,111.74641418457031,105.70347595214844,83.43779754638672,106.3491439819336,147.79022216796875,98.02851867675781,36.52238464355469,70.61799621582031,3.715376377105713,28.94214630126953,34.077880859375,22.961999893188477,227.29251098632812,73.18436431884766,130.5302734375,28.838960647583008,51.42247009277344
2019-01-16,36.796016693115234,62.8792724609375,84.18900299072266,342.0955810546875,23.873699188232422,198.41000366210938,112.53670501708984,51.1735725402832,81.12126922607422,41.62893295288086,54.02894973754883,166.56272888183594,148.07626342773438,111.94920349121094,104.62486267089844,84.11064910888672,106.08573913574219,146.39122009277344,98.37391662597656,36.51401901245117,70.43663787841797,3.6898415088653564,28.522201538085938,33.693965911865234,23.06999969482422,231.35397338867188,72.75677490234375,130.5302734375,28.868919372558594,51.40095138549805
2019-01-17,37.014503479003906,64.0920181274414,84.66100311279297,348.9266357421875,24.326847076416016,198.77999877929688,114.99835968017578,52.264678955078125,81.52906799316406,42.370643615722656,54.505516052246094,168.26153564453125,146.2613067626953,113.45785522460938,105.48284149169922,84.45531463623047,108.22925567626953,147.14529418945312,99.06473541259766,36.68334197998047,71.7514419555664,3.7612385749816895,28.766042709350586,33.7919921875,23.15399932861328,229.8585968017578,74.69966888427734,130.47325134277344,28.98577308654785,51.75252151489258
2019-01-18,37.242496490478516,65.78252410888672,84.80999755859375,354.406982421875,24.58697509765625,204.47999572753906,117.51031494140625,52.91935729980469,83.2840347290039,41.99978256225586,54.91115951538086,171.17727661132812,150.20071411132812,115.05572509765625,106.79023742675781,85.82571411132812,105.89497375488281,148.87173461914062,100.54903411865234,36.808753967285156,72.94831085205078,3.8903980255126953,28.80668067932129,36.53652572631836,20.150667190551758,234.9287872314453,76.21495819091797,131.63279724121094,29.282411575317383,52.36955261230469
2019-01-22,36.40653991699219,65.1651382446289,81.6084976196289,347.770263671875,24.410757064819336,200.72000122070312,113.75961303710938,51.243709564208984,81.8057632446289,40.1454963684082,53.48940658569336,167.06982421875,148.13482666015625,113.40917205810547,105.24586486816406,84.47175598144531,106.3491439819336,146.42095947265625,98.65397644042969,37.078407287597656,73.22036743164062,3.688106060028076,28.630578994750977,35.90756607055664,19.92799949645996,235.09695434570312,77.02513122558594,131.205078125,29.210494995117188,51.5803108215332
2019-01-23,36.553775787353516,65.01078033447266,82.0009994506836,348.4601745605469,24.268096923828125,201.14999389648438,113.39833068847656,51.32944869995117,81.11396789550781,40.46998977661133,53.77604293823242,166.41058349609375,147.95083618164062,114.15540313720703,105.24586486816406,84.25839233398438,107.8931884765625,143.17645263671875,99.61549377441406,37.4964714050293,72.9936752319336,3.700997829437256,28.556074142456055,35.37664031982422,19.172666549682617,236.27378845214844,75.70486450195312,130.21665954589844,29.576038360595703,51.15699768066406
