date,density,avg_corr,clustering
2019-03-29,0.48412698412698413,0.3481540811029961,0.6973926503786559
2019-04-29,0.23550724637681159,0.21283788826095745,0.37714947089947093
2019-05-28,0.3386243386243386,0.2775156435104275,0.6909915423045676
2019-06-25,0.35714285714285715,0.2751976943151821,0.6448333296022372
2019-07-24,0.3669950738916256,0.293067789518191,0.6181808005524243
2019-08-21,0.4781609195402299,0.38385301330135446,0.7489895963008091
2019-09-19,0.5615763546798029,0.40838634483046166,0.7683410449612101
2019-10-17,0.7068965517241379,0.4680751791387862,0.8461885421832693
2019-11-14,0.5261538461538462,0.32484816067421407,0.7555204292016628
2019-12-13,0.40615384615384614,0.2765256037551788,0.6796306542019808
2020-01-14,0.2971014492753623,0.18956924064144237,0.5933263495763496
2020-02-12,0.3292307692307692,0.2513719668787214,0.6439996278231572
2020-03-12,0.9862068965517241,0.7158542206025594,0.9879644833667822
2020-04-09,0.9793103448275862,0.7211743432800309,0.9823998053883112
2020-05-08,0.9701149425287356,0.7061436028649197,0.9755753161270403
2020-06-08,0.8896551724137931,0.6225358793833399,0.9286201966911612
2020-07-07,0.6157635467980296,0.4515336918471646,0.8210858064955474
2020-08-04,0.49261083743842365,0.4121626448882003,0.8175734208137512
2020-09-01,0.5185185185185185,0.39642153419270126,0.8305822967278796
2020-09-30,0.3492063492063492,0.2855564681007615,0.7333462172747887
2020-10-28,0.4827586206896552,0.3900574130503813,0.760238782831662
2020-11-25,0.432183908045977,0.3637030650976676,0.7861988184686394
2020-12-24,0.3694581280788177,0.2937864194185027,0.7541218866776676
2021-01-26,0.28923076923076924,0.17481606979948544,0.6895284202976512
2021-02-24,0.3557312252964427,0.2088378902111995,0.6869420434637826
2021-03-24,0.32666666666666666,0.23039252789626674,0.7651188811188812
2021-04-22,0.3261538461538461,0.25837034337673714,0.7319168011475703
2021-05-20,0.2438423645320197,0.24469315336171837,0.6283325869532765
2021-06-18,0.22298850574712645,0.2224167361500128,0.6408373108373109
2021-07-19,0.26108374384236455,0.24468372899959323,0.7212471436609368
2021-08-16,0.29,0.21349029230879124,0.6636767676767676
2021-09-14,0.28,0.24294519919457072,0.626408207177438
2021-10-12,0.29894179894179895,0.28572750971845484,0.6412633001918716
2021-11-09,0.3046153846153846,0.2594585176390584,0.737001887001887
2021-12-08,0.3333333333333333,0.2787806071985555,0.7065327676438788
2022-01-06,0.26455026455026454,0.25023698335859484,0.6531753960325389
2022-02-04,0.2804232804232804,0.24467384296614172,0.6211980479837623
2022-03-07,0.328042328042328,0.2627252252468137,0.712360853432282
2022-04-04,0.3522167487684729,0.25784984801072885,0.774993374891955
2022-05-03,0.41379310344827586,0.32609534269447704,0.8229879677712495
2022-06-01,0.5011494252873563,0.40187697506848674,0.84108151577562
2022-06-30,0.6344827586206897,0.47356058735368983,0.8118963767363058
2022-07-29,0.632183908045977,0.47868906024360564,0.8134431555815994
2022-08-26,0.5908045977011495,0.4418869728194614,0.8422181021003429
2022-09-26,0.5448275862068965,0.41939060295543296,0.8342099078762828
2022-10-24,0.735632183908046,0.5297162418545757,0.8796730894211364
2022-11-21,0.6827586206896552,0.48227536837721474,0.8462499081212232
2022-12-20,0.6689655172413793,0.47305738071075726,0.8411164242986605
2023-01-20,0.45057471264367815,0.3846279350783849,0.7825182147860166
2023-02-17,0.4068965517241379,0.34926567103288286,0.7290902155456604
2023-03-20,0.30344827586206896,0.3021025391518789,0.6788878470457418
2023-04-18,0.2850574712643678,0.27403684118342925,0.6542599829364535
2023-05-16,0.3941798941798942,0.3064231367543954,0.6930409014912554
2023-06-14,0.3333333333333333,0.25024996824817114,0.6530865549871399
2023-07-14,0.35384615384615387,0.23642343785315642,0.7236929736929737
2023-08-11,0.19943019943019943,0.15610520101684164,0.5670362559251448
2023-09-11,0.15076923076923077,0.16818622737207306,0.5497252747252748
2023-10-09,0.16666666666666666,0.18621572375825002,0.5654285714285714
2023-11-06,0.23809523809523808,0.2620822906841697,0.596104490747348
2023-12-05,0.27076923076923076,0.24742443646805232,0.653712313327698
2024-01-04,0.23692307692307693,0.21779886237003857,0.5538517038517038
2024-02-02,0.21739130434782608,0.15219317884880323,0.585783298826777
2024-03-04,0.18115942028985507,0.1618646037352788,0.5174603174603175
2024-04-02,0.11396011396011396,0.159719408249769,0.36790123456790125
2024-04-30,0.16333333333333333,0.1834474614865917,0.6237142857142858
2024-05-29,0.15942028985507245,0.17268530358928733,0.6455687830687831
2024-06-27,0.18614718614718614,0.16208012784194173,0.5304014167650531
2024-07-26,0.14333333333333334,0.12127748590443957,0.45425396825396824
2024-08-23,0.23692307692307693,0.1958453806268184,0.627922077922078
2024-09-23,0.3076923076923077,0.22871848718990656,0.720096997020074
2024-10-21,0.23891625615763548,0.25624103443468726,0.4731037162071645
2024-11-18,0.21578947368421053,0.1357817521747375,0.6369047619047619
2024-12-17,0.18947368421052632,0.08022457629173543,0.6261904761904762
