Date,ret,vol,regime,regime_name,regime_encoded
2019-01-31,0.003798454095362369,0.01196755391824429,0,Bull,2
2019-02-01,0.005081221119771423,0.009950734694149924,0,Bull,2
2019-02-04,0.003703247218510447,0.007219843790850297,0,Bull,2
2019-02-05,0.003588146494925165,0.007182598351305169,0,Bull,2
2019-02-06,0.002992160344743172,0.007143601000744854,0,Bull,2
2019-02-07,0.0023194010650195553,0.007649629539095063,0,Bull,2
2019-02-08,0.002127290180220798,0.007639737199343326,0,Bull,2
2019-02-11,0.0021700602272478496,0.0076287253939551014,0,Bull,2
2019-02-12,0.0030774477228414253,0.007776609438131291,0,Bull,2
2019-02-13,0.0026925630251321718,0.007566001330018417,0,Bull,2
2019-02-14,0.002448881672971298,0.007659856442725808,0,Bull,2
2019-02-15,0.002613249284290092,0.007809816713340356,0,Bull,2
2019-02-19,0.0020290337979140317,0.007404005750980062,0,Bull,2
2019-02-20,0.0028257546438307914,0.006353355117628282,0,Bull,2
2019-02-21,0.0025392871655755987,0.00651014768799206,0,Bull,2
2019-02-22,0.0027910560076067625,0.006559957325042352,0,Bull,2
2019-02-25,0.0024282144330666335,0.006427583186011279,0,Bull,2
2019-02-26,0.002781032952918533,0.006014265621293175,0,Bull,2
2019-02-27,0.0028266428124091914,0.00598382230365683,0,Bull,2
2019-02-28,0.0019079043506612437,0.005299039890770615,0,Bull,2
2019-03-01,0.0018228005828966943,0.005198667954025082,0,Bull,2
2019-03-04,0.0015838421536138014,0.005350990933763441,0,Bull,2
2019-03-05,0.0011884536815882918,0.005238092439104831,0,Bull,2
2019-03-06,0.0006268277300599367,0.005439134312937005,0,Bull,2
2019-03-07,0.00033176375113980747,0.005752965081071909,0,Bull,2
2019-03-08,0.0006930363158997421,0.005323329587072475,0,Bull,2
2019-03-11,0.0013925283549397927,0.006172424834583663,0,Bull,2
2019-03-12,0.0015047391102392283,0.00617974155580758,0,Bull,2
2019-03-13,0.0012077070637326436,0.005730102406691528,0,Bull,2
2019-03-14,0.0010131062111936706,0.00573126127600967,0,Bull,2
2019-03-15,0.0013949334339624308,0.005728638639841202,0,Bull,2
2019-03-18,0.0010362931485963234,0.005313112937644188,0,Bull,2
2019-03-19,0.0009548279047226383,0.005318137637493709,0,Bull,2
2019-03-20,0.0007187546868118178,0.005384099527744651,0,Bull,2
2019-03-21,0.0014377005788535513,0.005735921539210733,0,Bull,2
