Date,AAPL,ABBV,AMZN,BA,BAC,BRK-B,CAT,COP,CVX,GE,GOOGL,GS,HD,HON,JNJ,JPM,LLY,META,MSFT,NEE,NKE,NVDA,PFE,SLB,TSLA,UNH,UPS,V,WMT,XOM
2019-01-02,37.50371551513672,64.78943634033203,76.95649719238281,314.6451110839844,20.945079803466797,202.8000030517578,108.02359771728516,49.39659881591797,80.604248046875,37.31767272949219,52.301727294921875,145.3916473388672,144.20376586914062,106.92842102050781,104.38787841796875,80.83651733398438,104.34184265136719,134.62355041503906,94.39714050292969,35.50020217895508,67.1541748046875,3.376983880996704,29.294361114501953,30.385839462280273,20.674667358398438,215.453125,72.92181396484375,126.32947540283203,27.96704864501953,50.00183868408203
2019-01-03,33.76807403564453,62.65470886230469,75.01399993896484,302.10052490234375,20.609424591064453,191.66000366210938,103.86096954345703,48.46134567260742,79.06047821044922,37.364051818847656,50.85320281982422,143.2618408203125,141.02545166015625,105.50086212158203,102.72913360595703,79.68771362304688,101.0993423461914,130.71421813964844,90.9244613647461,35.41241455078125,65.96633911132812,3.1729564666748047,28.474796295166016,30.712568283081055,20.02400016784668,209.5776824951172,70.85140228271484,121.77696228027344,27.82322883605957,49.234127044677734
2019-01-04,35.2096061706543,64.67326354980469,78.76950073242188,317.82257080078125,21.465354919433594,195.1999969482422,109.53649139404297,49.684959411621094,80.69891357421875,38.152122497558594,53.46164321899414,147.94403076171875,145.2158203125,109.19144439697266,104.45325469970703,82.6253890991211,104.14205169677734,136.87586975097656,95.15330505371094,36.064605712890625,67.68916320800781,3.376239538192749,29.125019073486328,31.92963981628418,21.179332733154297,212.0287628173828,73.31939697265625,127.02323913574219,27.997011184692383,51.04938507080078
2019-01-07,35.13124465942383,65.61717987060547,81.47550201416016,318.82342529296875,21.44856834411621,196.91000366210938,109.6048812866211,49.46675109863281,81.74751281738281,40.51634216308594,53.35502243041992,148.76385498046875,148.0762481689453,109.79975891113281,103.78321838378906,82.6828384399414,104.70516204833984,136.97508239746094,95.2746353149414,36.01233673095703,68.65937805175781,3.554980754852295,29.280811309814453,32.811805725097656,22.33066749572754,212.43588256835938,73.07184600830078,129.3137969970703,28.326602935791016,51.314842224121094
2019-01-08,35.80096435546875,65.9221420288086,82.8290023803711,330.8919372558594,21.40660858154297,196.30999755859375,110.92120361328125,50.12921142578125,81.39069366455078,39.681915283203125,53.82365417480469,148.21449279785156,148.7872314453125,109.5726318359375,106.1937484741211,82.52693939208984,105.66792297363281,141.4202117919922,95.9654541015625,36.27571105957031,69.5752182006836,3.466477870941162,29.416282653808594,33.220218658447266,22.356666564941406,215.2761688232422,73.07933807373047,130.01705932617188,28.524354934692383,51.68794250488281
2019-01-09,36.408912658691406,63.758365631103516,82.97100067138672,334.0985107421875,21.616395950317383,196.3699951171875,111.34857940673828,51.78925704956055,82.48298645019531,39.40376281738281,53.6391716003418,149.14413452148438,150.32623291015625,110.0836410522461,105.35208892822266,82.3874282836914,106.45812225341797,143.10696411132812,97.33770751953125,36.118927001953125,69.4482421875,3.5346522331237793,29.35531997680664,33.6858024597168,22.568666458129883,215.58590698242188,73.45443725585938,131.5472412109375,28.43147087097168,51.9605827331543
2019-01-10,36.52529525756836,64.04154205322266,82.81099700927734,342.6299743652344,21.59122657775879,196.5800018310547,113.64786529541016,52.95051956176758,82.61406707763672,41.44349670410156,53.499332427978516,148.7469024658203,149.76583862304688,111.73018646240234,105.98944854736328,82.37920379638672,105.30463409423828,143.0771942138672,96.7122802734375,36.662437438964844,69.29409790039062,3.6003477573394775,28.657678604125977,34.02070999145508,22.99799919128418,216.6742401123047,74.19709014892578,131.7943572998047,28.452442169189453,51.69511032104492
2019-01-11,36.16667556762695,64.12142181396484,82.02799987792969,342.9118347167969,21.84296989440918,196.2899932861328,112.91282653808594,51.74250030517578,81.95140075683594,41.44349670410156,52.78721618652344,149.53294372558594,150.05857849121094,111.41385650634766,106.02214813232422,81.9853515625,105.52261352539062,142.68032836914062,95.9654541015625,36.72932815551758,68.94955444335938,3.689593553543091,29.043745040893555,34.09422302246094,23.150667190551758,219.15185546875,73.44691467285156,131.21458435058594,28.41649055480957,51.458351135253906
2019-01-14,35.62283706665039,62.298622131347656,80.8604965209961,340.4436950683594,22.128280639648438,195.77999877929688,112.65633392333984,51.13460159301758,81.35428619384766,41.25807189941406,52.14452362060547,151.0457305908203,149.55673217773438,111.61663055419922,104.82097625732422,82.83053588867188,104.16020965576172,144.2579345703125,95.26531982421875,35.792842864990234,68.99488067626953,3.729506731033325,28.698305130004883,33.75115966796875,22.293333053588867,219.49691772460938,74.3696060180664,130.30218505859375,28.44944953918457,51.39377975463867
2019-01-15,36.3519287109375,62.842525482177734,83.72799682617188,342.2705078125,22.279327392578125,196.94000244140625,111.70757293701172,51.46193313598633,81.64556884765625,40.470001220703125,53.880184173583984,152.051513671875,147.59951782226562,111.74640655517578,105.70346069335938,83.43778991699219,106.34912872314453,147.7902069091797,98.02851867675781,36.52238464355469,70.61798858642578,3.715376138687134,28.9421443939209,34.07787322998047,22.961999893188477,227.29251098632812,73.18436431884766,130.5303192138672,28.838956832885742,51.42246627807617
2019-01-16,36.796024322509766,62.879276275634766,84.18900299072266,342.0955505371094,23.873695373535156,198.41000366210938,112.53668975830078,51.17357635498047,81.12126922607422,41.628929138183594,54.02894973754883,166.56271362304688,148.0762481689453,111.94918060302734,104.62484741210938,84.11066436767578,106.08572387695312,146.3911895751953,98.37391662597656,36.51401901245117,70.43661499023438,3.6898412704467773,28.522205352783203,33.6939811706543,23.06999969482422,231.35403442382812,72.75679779052734,130.5303192138672,28.86892318725586,51.40093994140625
